scheme_id,scheme_name,tamil_name,government,category,scheme_type,target_group_text,description,benefit,eligibility_text,documents,application_route,official_source,is_umbrella_entry,requires_category,recommendable,priority_enabled,source_flag
C001,PM-KISAN,,Central,Agriculture,HOUSEHOLD,Eligible landholding farmers,Direct income support scheme for landholding farmer families.,Income support (amount not stated in source),Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C002,Pradhan Mantri Fasal Bima Yojana (PMFBY),,Central,Agriculture,HOUSEHOLD,Farmers,Crop insurance scheme for farmers.,Crop insurance cover,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C003,Kisan Credit Card (KCC),,Central,Agriculture,HOUSEHOLD,Farmers / allied agricultural activity workers / fishermen,"Agricultural credit card. Source material covers three use-cases under one scheme: general agriculture, allied agricultural activities (incl. livestock), and fisheries.",Agricultural credit,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,"Merged with source rows 'KCC for allied agricultural activities' and 'KCC for fisheries' into one scheme with 3 use-cases, per Phase 2 decision #2."
C004,PM-Kisan Maandhan Yojana,,Central,Agriculture,HOUSEHOLD,Eligible small/marginal farmers,Pension scheme for small/marginal farmers.,Pension,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C005,Pradhan Mantri Krishi Sinchayee Yojana (PMKSY),,Central,Agriculture,HOUSEHOLD,Farmers,Irrigation/water management scheme.,Irrigation/water management support,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C006,Soil Health Card,,Central,Agriculture,HOUSEHOLD,Farmers,Soil testing and advisory scheme.,Soil testing/advice,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C007,Sub-Mission on Agricultural Mechanization,,Central,Agriculture,HOUSEHOLD,Farmers,Support for farm machinery.,Farm machinery assistance,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C008,National Horticulture Mission,,Central,Agriculture,HOUSEHOLD,Horticulture farmers,Assistance for horticulture activities.,Assistance for horticulture,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C009,National Food Security Mission,,Central,Agriculture,HOUSEHOLD,Farmers,Crop productivity support scheme.,Crop productivity support,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C010,Agriculture Infrastructure Fund,,Central,Agriculture,BOTH,Farmers/FPOs/agri businesses,Infrastructure financing for agriculture.,Infrastructure financing,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C011,Paramparagat Krishi Vikas Yojana,,Central,Agriculture,HOUSEHOLD,Organic farmers,Support for organic farming.,Organic farming support,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C012,Rashtriya Krishi Vikas Yojana,,Central,Agriculture,BOTH,Agriculture sector,Agriculture sector development scheme.,Agriculture development,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C013,Pradhan Mantri Awas Yojana – Gramin (PMAY-G),,Central,Housing,HOUSEHOLD,Rural households needing eligible housing assistance,Rural housing assistance scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C014,PM-JANMAN,,Central,Tribal Welfare,CATEGORY_SPECIFIC,Eligible Particularly Vulnerable Tribal Groups (PVTG),Scheme for Particularly Vulnerable Tribal Groups.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,True,False,True,Category-specific (PVTG/tribal); excluded from default caste-neutral recommendations per Phase 1 decision.
C015,Swachh Bharat Mission – Gramin,,Central,Sanitation,BOTH,Rural households/sanitation,Rural sanitation scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C016,Jal Jeevan Mission,,Central,Water,BOTH,Rural households,Rural drinking water infrastructure scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C017,Pradhan Mantri Gram Sadak Yojana (PMGSY),,Central,Community Development,COMMUNITY,Rural connectivity,Rural road connectivity scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,"Community-level; routed to Village/Community section, not personal results."
C018,MGNREGS,,Central,Labour,BOTH,Rural households seeking wage employment,Rural wage employment guarantee scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C019,Rashtriya Gram Swaraj Abhiyan (RGSA),,Central,Community Development,COMMUNITY,Panchayati Raj capacity/institutions,Panchayati Raj capacity-building scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Community-level.
C020,Sansad Adarsh Gram Yojana,,Central,Community Development,COMMUNITY,Village development,Village development scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Community-level.
C021,MPLADS,,Central,Community Development,COMMUNITY,Community infrastructure through MPs,Community infrastructure funded through MPs.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Community-level.
C022,Pradhan Mantri Matru Vandana Yojana (PMMVY),,Central,Women,HOUSEHOLD,Eligible pregnant/lactating women,Maternity benefit scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,"Also listed under Health section in source; single scheme, deduplicated."
C023,Pradhan Mantri Ujjwala Yojana (PMUY),,Central,Women,HOUSEHOLD,Eligible women/households for LPG,LPG connection scheme for eligible women/households.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C024,DAY-NRLM,,Central,Women,BOTH,Rural women/SHGs,Rural livelihoods mission for women/SHGs.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,"Also listed under Workers and Small Business sections; single scheme, deduplicated."
C025,Women SHG livelihood programmes,,Central,Women,HOUSEHOLD,Rural women,Generic label in source; no specific scheme name given.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,"Generic category label, not a named scheme — 'More information required'."
C026,Ayushman Bharat – PM-JAY,,Central,Health,HOUSEHOLD,Eligible families,Health insurance scheme for eligible families.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C027,Ayushman Bharat Health & Wellness Centres / Ayushman Arogya Mandirs,,Central,Health,COMMUNITY,General public,Primary healthcare infrastructure.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,"Community-level facility, not household-scored."
C028,National Health Mission,,Central,Health,COMMUNITY,Public health,Public health mission.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Community/public-health level.
C029,National TB Elimination Programme,,Central,Health,PERSONAL,TB patients,TB treatment/elimination programme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,"Health-condition gated; questionnaire uses self-declared 'chronic/long-term health condition' checkbox only, no diagnosis collected."
C030,Universal Immunisation Programme,,Central,Health,HOUSEHOLD,Children/pregnant women,Immunisation programme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C031,National programmes for NCDs,,Central,Health,PERSONAL,Eligible patients,Non-communicable disease programmes.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,"Health-condition gated; kept in directory only in V1 per data-minimization decision, not scored by default."
C032,Indira Gandhi National Old Age Pension Scheme (IGNOAPS),,Central,Pension,HOUSEHOLD,Eligible elderly,Old-age pension scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,"Also listed within 'Tamil Nadu Social Security Pensions' as a state-administered benefit; single scheme, deduplicated."
C033,Indira Gandhi National Widow Pension Scheme (IGNWPS),,Central,Pension,HOUSEHOLD,Eligible widows,Widow pension scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,Also listed within TN Social Security Pensions; deduplicated.
C034,Indira Gandhi National Disability Pension Scheme (IGNDPS),,Central,Pension,HOUSEHOLD,Eligible persons with disabilities,Disability pension scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,Also listed within TN Social Security Pensions; deduplicated. Gated on self-declared disability checkbox.
C035,Atal Pension Yojana (APY),,Central,Pension,PERSONAL,Eligible subscribers,Voluntary pension subscription scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C036,PM-SYM,,Central,Pension,PERSONAL,Eligible unorganised workers,Pension scheme for unorganised workers.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C037,e-Shram,,Central,Labour,PERSONAL,Unorganised workers,National database/registration for unorganised workers.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C038,PM SVANidhi,,Central,Labour,PERSONAL,Street vendors,Micro-credit scheme for street vendors.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C039,PM Vishwakarma,,Central,Labour,PERSONAL,Traditional artisans,Support scheme for traditional artisans/craftspeople.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,"Source lists trades (carpenter, blacksmith, goldsmith, potter, mason, cobbler, barber, washerman, tailor, others) as occupation sub-categories, not separate schemes."
C040,PMEGP,,Central,Business,PERSONAL,New micro-enterprises,Employment generation programme for new micro-enterprises.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C041,MUDRA,,Central,Business,HOUSEHOLD,Small businesses/micro enterprises,Business loan scheme for small/micro enterprises.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,"Also listed under Banking and Small Business sections; single scheme, deduplicated."
C042,PM Jan Dhan Yojana (PMJDY),,Central,Banking,PERSONAL,Bank account/financial inclusion,Basic bank account/financial inclusion scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C043,PM Jeevan Jyoti Bima Yojana (PMJJBY),,Central,Insurance,PERSONAL,Life insurance,Life insurance scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C044,PM Suraksha Bima Yojana (PMSBY),,Central,Insurance,PERSONAL,Accident insurance,Accident insurance scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C045,National Scholarship Portal schemes,,Central,Education,PERSONAL,Students (general),Umbrella term in source for scholarships listed on the National Scholarship Portal.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,"Generic umbrella label, no individual scheme detail given — 'More information required'."
C046,PM YASASVI,,Central,Education,PERSONAL,Students (context: NSP scholarships),Scholarship scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,"Source gives name only, no target/eligibility detail — kept directory-only pending more source data."
C047,Central Sector Scholarship Scheme,,Central,Education,PERSONAL,Students,Scholarship scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Source gives name only — directory-only pending more detail.
C048,Pre-Matric Scholarship (eligible groups),,Central,Education,PERSONAL,"Students (eligible groups, unspecified)",Pre-matric scholarship for groups defined by the scheme (not specified in source).,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,'Eligible groups' undefined in source — directory-only pending clarification.
C049,Post-Matric Scholarship (eligible groups),,Central,Education,PERSONAL,"Students (eligible groups, unspecified)",Post-matric scholarship for groups defined by the scheme (not specified in source).,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,'Eligible groups' undefined in source — directory-only pending clarification.
C050,Scholarships for students with disabilities,,Central,Education,CATEGORY_SPECIFIC,Students with disabilities,Scholarship scheme for students with disabilities.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,True,False,True,Category-specific (disability) — excluded from default recommendations.
C051,Minority scholarships,,Central,Education,CATEGORY_SPECIFIC,Minority community students,Scholarship scheme for minority community students.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,True,False,True,Category-specific (religious minority) — excluded from default recommendations.
C052,SC/ST scholarships,,Central,Education,CATEGORY_SPECIFIC,SC/ST students,Scholarship scheme for SC/ST students.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,True,False,True,Category-specific (SC/ST) — excluded from default recommendations.
C053,Assistance through the National Trust,,Central,Disability Welfare,CATEGORY_SPECIFIC,Persons with specified disabilities,Part of the source's 'Differently Abled Persons' umbrella listing.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,True,True,False,True,Umbrella/directory-only; category-specific (disability).
C054,Disability skill development programmes,,Central,Disability Welfare,CATEGORY_SPECIFIC,Persons with disabilities,Part of the source's 'Differently Abled Persons' umbrella listing.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,True,True,False,True,Umbrella/directory-only; category-specific.
C055,Rehabilitation assistance,,Central,Disability Welfare,CATEGORY_SPECIFIC,Persons with disabilities,Part of the source's 'Differently Abled Persons' umbrella listing.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,True,True,False,True,Umbrella/directory-only; category-specific.
C056,Accessible infrastructure programmes,,Central,Disability Welfare,COMMUNITY,Persons with disabilities/public,Part of the source's 'Differently Abled Persons' umbrella listing.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,True,False,False,True,Umbrella/directory-only; community-level.
C057,Disability-related social security programmes,,Central,Disability Welfare,CATEGORY_SPECIFIC,Persons with disabilities,Part of the source's 'Differently Abled Persons' umbrella listing.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,True,True,False,True,Umbrella/directory-only; category-specific.
C058,Stand-Up India,,Central,Business,CATEGORY_SPECIFIC,Eligible SC/ST & women entrepreneurs,Loan scheme for SC/ST and women entrepreneurs.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,True,True,True,Dual-path source target: SC/ST path is category-specific (excluded from default caste-neutral results); women-entrepreneur path is scored normally via gender+occupation rule.
C059,Startup India,,Central,Business,HOUSEHOLD,Startups,Support scheme for startups.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C060,National Livestock Mission,,Central,Livestock,HOUSEHOLD,Livestock owners,Livestock development scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C061,Rashtriya Gokul Mission,,Central,Livestock,HOUSEHOLD,Cattle/livestock owners,Cattle development scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C062,Livestock development programmes (generic),,Central,Livestock,HOUSEHOLD,Livestock owners,Generic category label in source; no specific scheme named.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Generic label — 'More information required'.
C063,Dairy development programmes (generic),,Central,Livestock,HOUSEHOLD,Dairy farmers,Generic category label in source; no specific scheme named.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Generic label — 'More information required'.
C064,Poultry development programmes (generic),,Central,Livestock,HOUSEHOLD,Poultry farmers,Generic category label in source; no specific scheme named.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Generic label — 'More information required'.
C065,Sheep/goat development programmes (generic),,Central,Livestock,HOUSEHOLD,Sheep/goat farmers,Generic category label in source; no specific scheme named.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Generic label — 'More information required'.
C066,Fodder development programmes (generic),,Central,Livestock,HOUSEHOLD,Livestock owners,Generic category label in source; no specific scheme named.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Generic label — 'More information required'.
C068,Pradhan Mantri Matsya Sampada Yojana (PMMSY),,Central,Fisheries,HOUSEHOLD,Fishermen/fishing households,Fisheries sector development scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C070,Fisheries infrastructure assistance (generic),,Central,Fisheries,BOTH,Fishing households/community,Generic category label in source; no specific scheme named.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Generic label — 'More information required'.
C071,Fishermen welfare programmes (generic),,Central,Fisheries,HOUSEHOLD,Fishermen,Generic category label in source; no specific scheme named.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Generic label — 'More information required'.
C072,Livelihood and equipment assistance (generic),,Central,Fisheries,HOUSEHOLD,Fishermen/fishing households,Generic category label in source; no specific scheme named.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Generic label — 'More information required'.
C073,PM Surya Ghar: Muft Bijli Yojana,,Central,Energy,HOUSEHOLD,Residential households with eligible grid-connected electricity,Rooftop solar scheme.,"Central financial assistance for installing rooftop solar systems, helping households reduce electricity expenses.",Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C074,PM-KUSUM,,Central,Energy,HOUSEHOLD,Farmers and eligible agricultural entities,Solar agricultural pump scheme.,"Financial support for solar agricultural pumps, solarisation of existing agricultural pumps, and certain solar power plants, helping reduce agricultural energy costs.",Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
C075,PM POSHAN,,Central,Food/Nutrition,BOTH,Children in eligible Government and Government-aided schools,School nutrition scheme.,"Provision of hot cooked meals to improve children's nutrition, school attendance and retention.",Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
TN001,Kalaignar Magalir Urimai Thittam,Kalaignar Magalir Urimai Thittam,Tamil Nadu,Women,HOUSEHOLD,Eligible women heads of households,Financial assistance scheme for women heads of households.,Monthly financial assistance (amount not stated in source),Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
