scheme_id,condition_field,condition_operator,condition_value,condition_type,weight,mandatory,description
C001,occupation,=,Farmer,PRIMARY,60,True,Household occupation is Farmer
C001,land_owned,=,Yes,SUPPORTING,30,False,Household owns agricultural land
C001,bank_account,=,Yes,SUPPORTING,20,False,Household has a bank account (needed for direct transfer)
C001,ration_card,=,Yes,SUPPORTING,20,False,Household has a ration card on record
C002,occupation,=,Farmer,PRIMARY,60,True,Household occupation is Farmer
C002,land_owned,=,Yes,SUPPORTING,40,False,Household owns/cultivates agricultural land
C002,agricultural_pump,=,Yes,SUPPORTING,10,False,Household has active irrigation/farming inputs
C003,occupation,in,"Farmer,Agricultural worker,Livestock owner,Fisherman",PRIMARY,60,True,"Household occupation is Farmer, agricultural worker, livestock owner, or fisherman (KCC use-case)"
C003,land_owned,=,Yes,SUPPORTING,20,False,Household owns agricultural land (agriculture use-case)
C003,bank_account,=,Yes,SUPPORTING,20,False,Household has a bank account
C003,occupation,=,Livestock owner,SUPPORTING,20,False,Household keeps livestock (allied-activity use-case)
C003,occupation,=,Fisherman,SUPPORTING,20,False,Household occupation is fisherman (fisheries use-case)
C004,occupation,=,Farmer,PRIMARY,60,True,Household occupation is Farmer
C004,land_owned,=,Yes,SUPPORTING,20,False,Household owns land (small/marginal profile indicator)
C005,occupation,=,Farmer,PRIMARY,60,True,Household occupation is Farmer
C005,land_owned,=,Yes,SUPPORTING,30,False,Household owns agricultural land needing irrigation
C006,occupation,=,Farmer,PRIMARY,60,True,Household occupation is Farmer
C006,land_owned,=,Yes,SUPPORTING,30,False,Household owns agricultural land
C007,occupation,=,Farmer,PRIMARY,60,True,Household occupation is Farmer
C007,land_owned,=,Yes,SUPPORTING,30,False,Household owns agricultural land
C008,occupation,=,Farmer,PRIMARY,60,True,Household occupation is Farmer
C008,farming_activity,=,Horticulture,SUPPORTING,40,False,Household grows horticultural crops
C009,occupation,=,Farmer,PRIMARY,60,True,Household occupation is Farmer
C009,land_owned,=,Yes,SUPPORTING,30,False,Household owns agricultural land
C010,occupation,in,"Farmer,Small business owner",PRIMARY,60,True,"Household is a farmer, FPO member, or agri-business"
C010,land_owned,=,Yes,SUPPORTING,30,False,Household owns agricultural land/infrastructure
C011,occupation,=,Farmer,PRIMARY,60,True,Household occupation is Farmer
C011,farming_activity,=,Organic,SUPPORTING,40,False,Household practises organic farming
C012,occupation,=,Farmer,PRIMARY,60,True,Household is in the agriculture sector
C013,house_status,in,"Kutcha,No house,Needs housing",PRIMARY,60,True,Household lacks pucca housing
C013,ration_card,=,Yes,SUPPORTING,20,False,Household has a ration card on record
C015,household_has_toilet,=,No,PRIMARY,60,True,Household lacks sanitation facility
C016,water_access,=,No,PRIMARY,60,True,Household lacks piped drinking water access
C018,occupation,in,"Daily wage worker,Agricultural worker,Unorganised worker",PRIMARY,60,True,Household seeks rural wage employment
